date,from.code,from.city,to.code,to.city,price.czk
2022-07-01,ATH,Athens,WAW,Warsaw,3329
2022-07-01,ATH,Athens,ZAG,Zagreb,2348
2022-07-01,BEG,Belgrade,AMS,Amsterdam,2971
2022-07-01,BEG,Belgrade,ARN,Stockholm,3481
2022-07-01,BEG,Belgrade,ATH,Athens,1820
2022-07-01,BEG,Belgrade,BRN,Bern,2253
2022-07-01,BEG,Belgrade,BRU,Brussels,2914
2022-07-01,BEG,Belgrade,BTS,Bratislava,1112
2022-07-01,BEG,Belgrade,BUD,Budapest,871
2022-07-01,BEG,Belgrade,CDG,Paris,3221
2022-07-01,BEG,Belgrade,CPH,Copenhagen,2891
2022-07-01,BEG,Belgrade,DME,Moscow,3545
2022-07-01,BEG,Belgrade,DUB,Dublin,4496
2022-07-01,BEG,Belgrade,ESB,Ankara,2449
2022-07-01,BEG,Belgrade,EVN,Yerevan,4218
2022-07-01,BEG,Belgrade,FCO,Rome,1706
2022-07-01,BEG,Belgrade,GYD,Baku,5098
2022-07-01,BEG,Belgrade,HEL,Helsinki,3663
2022-07-01,BEG,Belgrade,IEV,Kyiv,2097
2022-07-01,BEG,Belgrade,KIV,Chisinau,1550
2022-07-01,BEG,Belgrade,LHR,London,3559
2022-07-01,BEG,Belgrade,LIS,Lisbon,5201
2022-07-01,BEG,Belgrade,LJU,Ljubljana,862
2022-07-01,BEG,Belgrade,LUX,Luxembourg,2680
2022-07-01,BEG,Belgrade,MAD,Madrid,4329
2022-07-01,BEG,Belgrade,NIC,Nicosia,2541
2022-07-01,BEG,Belgrade,OSL,Oslo,3759
2022-07-01,BEG,Belgrade,OTP,Bucharest,1116
2022-07-01,BEG,Belgrade,PRG,Prague,1763
2022-07-01,BEG,Belgrade,RIX,Riga,2941
2022-07-01,BEG,Belgrade,RKV,Reykjavik,6905
2022-07-01,BEG,Belgrade,SKP,Skopje,869
2022-07-01,BEG,Belgrade,SOF,Sofia,923
2022-07-01,BEG,Belgrade,TBS,Tbilisi,4209
2022-07-01,BEG,Belgrade,TGD,Podgorica,771
2022-07-01,BEG,Belgrade,TIA,Tirana,974
2022-07-01,BEG,Belgrade,TLL,Tallinn,3571
2022-07-01,BEG,Belgrade,TXL,Berlin,2157
2022-07-01,BEG,Belgrade,VIE,Vienna,1191
2022-07-01,BEG,Belgrade,VNO,Vilnius,1809
2022-07-01,BEG,Belgrade,WAW,Warsaw,1883
2022-07-01,BEG,Belgrade,ZAG,Zagreb,972
2022-07-01,BRN,Bern,AMS,Amsterdam,1094
2022-07-01,BRN,Bern,ARN,Stockholm,3274
2022-07-01,BRN,Bern,ATH,Athens,3446
2022-07-01,BRN,Bern,BEG,Belgrade,2318
2022-07-01,BRN,Bern,BRU,Brussels,1185
2022-07-01,BRN,Bern,BTS,Bratislava,1676
2022-07-01,BRN,Bern,BUD,Budapest,1992
2022-07-01,BRN,Bern,CDG,Paris,1042
2022-07-01,BRN,Bern,CPH,Copenhagen,2252
2022-07-01,BRN,Bern,DUB,Dublin,2560
2022-07-01,BRN,Bern,ESB,Ankara,3522
2022-07-01,BRN,Bern,EVN,Yerevan,6299
2022-07-01,BRN,Bern,FCO,Rome,1197
2022-07-01,BRN,Bern,GYD,Baku,7102
2022-07-01,BRN,Bern,HEL,Helsinki,3832
2022-07-01,BRN,Bern,IEV,Kyiv,3648
2022-07-01,BRN,Bern,KIV,Chisinau,2614
2022-07-01,BRN,Bern,LHR,London,1673
2022-07-01,BRN,Bern,LIS,Lisbon,3579
2022-07-01,BRN,Bern,LUX,Luxembourg,819
2022-07-01,BRN,Bern,MAD,Madrid,2511
2022-07-01,BRN,Bern,MLA,Valletta,2874
2022-07-01,BRN,Bern,MSQ,Minsk,3490
2022-07-01,BRN,Bern,NIC,Nicosia,5199
2022-07-01,BRN,Bern,OSL,Oslo,3133
2022-07-01,BRN,Bern,OTP,Bucharest,3084
2022-07-01,BRN,Bern,PRG,Prague,1069
2022-07-01,BRN,Bern,PRN,Pristina,2565
2022-07-01,BRN,Bern,RIX,Riga,3293
2022-07-01,BRN,Bern,RKV,Reykjavik,5514
2022-07-01,BRN,Bern,SJJ,Sarajevo,2021
2022-07-01,BRN,Bern,SKP,Skopje,2032
2022-07-01,BRN,Bern,SOF,Sofia,2859
2022-07-01,BRN,Bern,TBS,Tbilisi,6192
2022-07-01,BRN,Bern,TGD,Podgorica,2299
2022-07-01,BRN,Bern,TLL,Tallinn,3818
2022-07-01,BRN,Bern,TXL,Berlin,1702
2022-07-01,BRN,Bern,VIE,Vienna,1583
2022-07-01,BRN,Bern,VNO,Vilnius,3290
2022-07-01,BRN,Bern,WAW,Warsaw,2438
2022-07-01,BRN,Bern,ZAG,Zagreb,1540
2022-07-01,BRU,Brussels,ARN,Stockholm,2730
2022-07-01,BRU,Brussels,ATH,Athens,4376
2022-07-01,BRU,Brussels,BEG,Belgrade,2956
2022-07-01,BRU,Brussels,BRN,Bern,1157
2022-07-01,BRU,Brussels,BTS,Bratislava,2198
2022-07-01,BRU,Brussels,BUD,Budapest,2385
2022-07-01,BRU,Brussels,CDG,Paris,547
2022-07-01,BRU,Brussels,CPH,Copenhagen,1720
2022-07-01,BRU,Brussels,DME,Moscow,4701
2022-07-01,BRU,Brussels,DUB,Dublin,1761
2022-07-01,BRU,Brussels,ESB,Ankara,5298
2022-07-01,BRU,Brussels,EVN,Yerevan,6753
2022-07-01,BRU,Brussels,FCO,Rome,2568
2022-07-01,BRU,Brussels,GYD,Baku,7584
2022-07-01,BRU,Brussels,HEL,Helsinki,3501
2022-07-01,BRU,Brussels,IEV,Kyiv,3938
2022-07-01,BRU,Brussels,KIV,Chisinau,3884
2022-07-01,BRU,Brussels,LHR,London,842
2022-07-01,BRU,Brussels,LIS,Lisbon,3694
2022-07-01,BRU,Brussels,LJU,Ljubljana,1478
2022-07-01,BRU,Brussels,MAD,Madrid,2793
2022-07-01,BRU,Brussels,MLA,Valletta,3882
2022-07-01,BRU,Brussels,MSQ,Minsk,3419
2022-07-01,BRU,Brussels,NIC,Nicosia,6114
2022-07-01,BRU,Brussels,OSL,Oslo,2277
2022-07-01,BRU,Brussels,OTP,Bucharest,3745
2022-07-01,BRU,Brussels,PRG,Prague,1589
2022-07-01,BRU,Brussels,PRN,Pristina,3285
2022-07-01,BRU,Brussels,RIX,Riga,3056
2022-07-01,BRU,Brussels,RKV,Reykjavik,3424
2022-07-01,BRU,Brussels,SJJ,Sarajevo,2853
2022-07-01,BRU,Brussels,SKP,Skopje,3405
2022-07-01,BRU,Brussels,SOF,Sofia,3579
2022-07-01,BRU,Brussels,TBS,Tbilisi,6594
2022-07-01,BRU,Brussels,TGD,Podgorica,3181
2022-07-01,BRU,Brussels,TIA,Tirana,3456
2022-07-01,BRU,Brussels,TLL,Tallinn,3283
2022-07-01,BRU,Brussels,TXL,Berlin,1492
2022-07-01,BRU,Brussels,VIE,Vienna,2025
2022-07-01,BRU,Brussels,VNO,Vilnius,3091
2022-07-01,BRU,Brussels,WAW,Warsaw,2557
2022-07-01,BRU,Brussels,ZAG,Zagreb,2202
2022-07-01,BTS,Bratislava,AMS,Amsterdam,1654
2022-07-01,BTS,Bratislava,ARN,Stockholm,2718
2022-07-01,BTS,Bratislava,ATH,Athens,2012
2022-07-01,BTS,Bratislava,BEG,Belgrade,1117
2022-07-01,BTS,Bratislava,BRN,Bern,1746
2022-07-01,BTS,Bratislava,CDG,Paris,2413
2022-07-01,BTS,Bratislava,CPH,Copenhagen,1979
2022-07-01,BTS,Bratislava,DME,Moscow,3508
2022-07-01,BTS,Bratislava,DUB,Dublin,3620
2022-07-01,BTS,Bratislava,ESB,Ankara,3227
2022-07-01,BTS,Bratislava,EVN,Yerevan,4941
2022-07-01,BTS,Bratislava,FCO,Rome,1693
2022-07-01,BTS,Bratislava,GYD,Baku,5790
2022-07-01,BTS,Bratislava,HEL,Helsinki,3088
2022-07-01,BTS,Bratislava,IEV,Kyiv,2210
2022-07-01,BTS,Bratislava,KIV,Chisinau,1992
2022-07-01,BTS,Bratislava,LHR,London,2791
2022-07-01,BTS,Bratislava,LIS,Lisbon,4952
2022-07-01,BTS,Bratislava,LJU,Ljubljana,773
2022-07-01,BTS,Bratislava,LUX,Luxembourg,1861
2022-07-01,BTS,Bratislava,MLA,Valletta,2952
2022-07-01,BTS,Bratislava,MSQ,Minsk,1589
2022-07-01,BTS,Bratislava,NIC,Nicosia,4123
2022-07-01,BTS,Bratislava,OSL,Oslo,2910
2022-07-01,BTS,Bratislava,OTP,Bucharest,1743
2022-07-01,BTS,Bratislava,PRG,Prague,795
2022-07-01,BTS,Bratislava,PRN,Pristina,1568
2022-07-01,BTS,Bratislava,RIX,Riga,2301
2022-07-01,BTS,Bratislava,RKV,Reykjavik,5950
2022-07-01,BTS,Bratislava,SJJ,Sarajevo,1165
2022-07-01,BTS,Bratislava,SKP,Skopje,1703
2022-07-01,BTS,Bratislava,SOF,Sofia,1721
2022-07-01,BTS,Bratislava,TBS,Tbilisi,4784
2022-07-01,BTS,Bratislava,TGD,Podgorica,1472
2022-07-01,BTS,Bratislava,TIA,Tirana,1786
2022-07-01,BTS,Bratislava,TLL,Tallinn,2957
2022-07-01,BTS,Bratislava,TXL,Berlin,1255
2022-07-01,BTS,Bratislava,WAW,Warsaw,1295
2022-07-01,BTS,Bratislava,ZAG,Zagreb,602
2022-07-01,BUD,Budapest,AMS,Amsterdam,2572
2022-07-01,BUD,Budapest,ARN,Stockholm,2826
2022-07-01,BUD,Budapest,ATH,Athens,1756
2022-07-01,BUD,Budapest,BEG,Belgrade,719
2022-07-01,BUD,Budapest,BRN,Bern,2000
2022-07-01,BUD,Budapest,BRU,Brussels,2327
2022-07-01,BUD,Budapest,CDG,Paris,2680
2022-07-01,BUD,Budapest,CPH,Copenhagen,2155
2022-07-01,BUD,Budapest,DME,Moscow,3362
2022-07-01,BUD,Budapest,DUB,Dublin,3959
2022-07-01,BUD,Budapest,ESB,Ankara,3037
2022-07-01,BUD,Budapest,EVN,Yerevan,4555
2022-07-01,BUD,Budapest,FCO,Rome,1865
2022-07-01,BUD,Budapest,HEL,Helsinki,3139
2022-07-01,BUD,Budapest,IEV,Kyiv,1950
2022-07-01,BUD,Budapest,KIV,Chisinau,1732
2022-07-01,BUD,Budapest,LHR,London,3128
2022-07-01,BUD,Budapest,LIS,Lisbon,5167
2022-07-01,BUD,Budapest,LJU,Ljubljana,992
2022-07-01,BUD,Budapest,LUX,Luxembourg,2173
2022-07-01,BUD,Budapest,MAD,Madrid,4327
2022-07-01,BUD,Budapest,MLA,Valletta,2808
2022-07-01,BUD,Budapest,NIC,Nicosia,3872
2022-07-01,BUD,Budapest,OSL,Oslo,3169
2022-07-01,BUD,Budapest,OTP,Bucharest,1093
2022-07-01,BUD,Budapest,PRN,Pristina,1339
2022-07-01,BUD,Budapest,RIX,Riga,2377
2022-07-01,BUD,Budapest,RKV,Reykjavik,6390
2022-07-01,BUD,Budapest,SJJ,Sarajevo,1120
2022-07-01,BUD,Budapest,SKP,Skopje,1490
2022-07-01,BUD,Budapest,SOF,Sofia,1435
2022-07-01,BUD,Budapest,TGD,Podgorica,1306
2022-07-01,BUD,Budapest,TIA,Tirana,1597
2022-07-01,BUD,Budapest,TXL,Berlin,1172
2022-07-01,BUD,Budapest,VNO,Vilnius,2013
2022-07-01,BUD,Budapest,WAW,Warsaw,1241
2022-07-01,BUD,Budapest,ZAG,Zagreb,800
2022-07-01,CDG,Paris,AMS,Amsterdam,1141
2022-07-01,CDG,Paris,ARN,Stockholm,3293
2022-07-01,CDG,Paris,BEG,Belgrade,3142
2022-07-01,CDG,Paris,BRN,Bern,802
2022-07-01,CDG,Paris,BRU,Brussels,756
2022-07-01,CDG,Paris,BTS,Bratislava,2405
2022-07-01,CDG,Paris,BUD,Budapest,2706
2022-07-01,CDG,Paris,CPH,Copenhagen,2239
2022-07-01,CDG,Paris,DME,Moscow,5051
2022-07-01,CDG,Paris,DUB,Dublin,1823
2022-07-01,CDG,Paris,ESB,Ankara,5524
2022-07-01,CDG,Paris,FCO,Rome,2365
2022-07-01,CDG,Paris,GYD,Baku,7858
2022-07-01,CDG,Paris,HEL,Helsinki,3989
2022-07-01,CDG,Paris,IEV,Kyiv,4302
2022-07-01,CDG,Paris,KIV,Chisinau,4175
2022-07-01,CDG,Paris,LHR,London,841
2022-07-01,CDG,Paris,LIS,Lisbon,3111
2022-07-01,CDG,Paris,LJU,Ljubljana,2149
2022-07-01,CDG,Paris,LUX,Luxembourg,769
2022-07-01,CDG,Paris,MAD,Madrid,2311
2022-07-01,CDG,Paris,MSQ,Minsk,2967
2022-07-01,CDG,Paris,NIC,Nicosia,6000
2022-07-01,CDG,Paris,OSL,Oslo,2914
2022-07-01,CDG,Paris,OTP,Bucharest,3953
2022-07-01,CDG,Paris,PRG,Prague,2041
2022-07-01,CDG,Paris,PRN,Pristina,3469
2022-07-01,CDG,Paris,RIX,Riga,3631
2022-07-01,CDG,Paris,RKV,Reykjavik,4694
2022-07-01,CDG,Paris,SJJ,Sarajevo,2917
2022-07-01,CDG,Paris,SKP,Skopje,3453
2022-07-01,CDG,Paris,SOF,Sofia,2756
2022-07-01,CDG,Paris,TBS,Tbilisi,7001
2022-07-01,CDG,Paris,TGD,Podgorica,3148
2022-07-01,CDG,Paris,TIA,Tirana,3509
2022-07-01,CDG,Paris,TLL,Tallinn,3891
2022-07-01,CDG,Paris,TXL,Berlin,1904
2022-07-01,CDG,Paris,VIE,Vienna,2267
2022-07-01,CDG,Paris,VNO,Vilnius,3637
2022-07-01,CDG,Paris,WAW,Warsaw,2893
2022-07-01,CDG,Paris,ZAG,Zagreb,2342
2022-07-01,CPH,Copenhagen,AMS,Amsterdam,1485
2022-07-01,CPH,Copenhagen,ARN,Stockholm,1291
2022-07-01,CPH,Copenhagen,ATH,Athens,4528
2022-07-01,CPH,Copenhagen,BEG,Belgrade,2833
2022-07-01,CPH,Copenhagen,BRN,Bern,2331
2022-07-01,CPH,Copenhagen,BRU,Brussels,1788
2022-07-01,CPH,Copenhagen,BTS,Bratislava,1981
2022-07-01,CPH,Copenhagen,CDG,Paris,2216
2022-07-01,CPH,Copenhagen,DME,Moscow,3301
2022-07-01,CPH,Copenhagen,DUB,Dublin,2730
2022-07-01,CPH,Copenhagen,ESB,Ankara,4902
2022-07-01,CPH,Copenhagen,EVN,Yerevan,5918
2022-07-01,CPH,Copenhagen,FCO,Rome,3261
2022-07-01,CPH,Copenhagen,GYD,Baku,6529
2022-07-01,CPH,Copenhagen,HEL,Helsinki,1952
2022-07-01,CPH,Copenhagen,IEV,Kyiv,2877
2022-07-01,CPH,Copenhagen,KIV,Chisinau,3157
2022-07-01,CPH,Copenhagen,LIS,Lisbon,5195
2022-07-01,CPH,Copenhagen,LJU,Ljubljana,1720
2022-07-01,CPH,Copenhagen,LUX,Luxembourg,1347
2022-07-01,CPH,Copenhagen,MAD,Madrid,4302
2022-07-01,CPH,Copenhagen,MLA,Valletta,4634
2022-07-01,CPH,Copenhagen,MSQ,Minsk,2232
2022-07-01,CPH,Copenhagen,NIC,Nicosia,5767
2022-07-01,CPH,Copenhagen,OTP,Bucharest,3440
2022-07-01,CPH,Copenhagen,PRG,Prague,1539
2022-07-01,CPH,Copenhagen,PRN,Pristina,3388
2022-07-01,CPH,Copenhagen,RIX,Riga,1666
2022-07-01,CPH,Copenhagen,RKV,Reykjavik,4443
2022-07-01,CPH,Copenhagen,SJJ,Sarajevo,3072
2022-07-01,CPH,Copenhagen,SKP,Skopje,3433
2022-07-01,CPH,Copenhagen,SOF,Sofia,2626
2022-07-01,CPH,Copenhagen,TBS,Tbilisi,5887
2022-07-01,CPH,Copenhagen,TGD,Podgorica,3197
2022-07-01,CPH,Copenhagen,TIA,Tirana,3576
2022-07-01,CPH,Copenhagen,TLL,Tallinn,1929
2022-07-01,CPH,Copenhagen,TXL,Berlin,912
2022-07-01,CPH,Copenhagen,VIE,Vienna,2012
2022-07-01,CPH,Copenhagen,VNO,Vilnius,1812
2022-07-01,CPH,Copenhagen,WAW,Warsaw,1590
2022-07-01,CPH,Copenhagen,ZAG,Zagreb,2419
2022-07-01,DME,Moscow,AMS,Amsterdam,4348
2022-07-01,DME,Moscow,ARN,Stockholm,2655
2022-07-01,DME,Moscow,ATH,Athens,4600
2022-07-01,DME,Moscow,BRU,Brussels,4813
2022-07-01,DME,Moscow,BTS,Bratislava,3304
2022-07-01,DME,Moscow,BUD,Budapest,3339
2022-07-01,DME,Moscow,CDG,Paris,5135
2022-07-01,DME,Moscow,CPH,Copenhagen,3356
2022-07-01,DME,Moscow,DUB,Dublin,5772
2022-07-01,DME,Moscow,ESB,Ankara,3777
2022-07-01,DME,Moscow,EVN,Yerevan,2813
2022-07-01,DME,Moscow,FCO,Rome,5041
2022-07-01,DME,Moscow,GYD,Baku,3015
2022-07-01,DME,Moscow,HEL,Helsinki,1980
2022-07-01,DME,Moscow,IEV,Kyiv,1727
2022-07-01,DME,Moscow,LHR,London,5076
2022-07-01,DME,Moscow,LIS,Lisbon,8096
2022-07-01,DME,Moscow,LUX,Luxembourg,4639
2022-07-01,DME,Moscow,MAD,Madrid,7223
2022-07-01,DME,Moscow,MLA,Valletta,4461
2022-07-01,DME,Moscow,NIC,Nicosia,4960
2022-07-01,DME,Moscow,OSL,Oslo,3562
2022-07-01,DME,Moscow,OTP,Bucharest,3236
2022-07-01,DME,Moscow,PRG,Prague,3573
2022-07-01,DME,Moscow,PRN,Pristina,3963
2022-07-01,DME,Moscow,RIX,Riga,1872
2022-07-01,DME,Moscow,RKV,Reykjavik,6767
2022-07-01,DME,Moscow,SJJ,Sarajevo,3990
2022-07-01,DME,Moscow,SKP,Skopje,4029
2022-07-01,DME,Moscow,SOF,Sofia,3743
2022-07-01,DME,Moscow,TBS,Tbilisi,3413
2022-07-01,DME,Moscow,TGD,Podgorica,4301
2022-07-01,DME,Moscow,TIA,Tirana,4400
2022-07-01,DME,Moscow,TLL,Tallinn,2003
2022-07-01,DME,Moscow,TXL,Berlin,3449
2022-07-01,DME,Moscow,VIE,Vienna,2635
2022-07-01,DME,Moscow,VNO,Vilnius,1728
2022-07-01,DME,Moscow,WAW,Warsaw,2448
2022-07-01,DME,Moscow,ZAG,Zagreb,3958
2022-07-01,DUB,Dublin,AMS,Amsterdam,1667
2022-07-01,DUB,Dublin,ATH,Athens,4376
2022-07-01,DUB,Dublin,BEG,Belgrade,4505
2022-07-01,DUB,Dublin,BRN,Bern,2706
2022-07-01,DUB,Dublin,BRU,Brussels,1334
2022-07-01,DUB,Dublin,BUD,Budapest,4058
2022-07-01,DUB,Dublin,CDG,Paris,1755
2022-07-01,DUB,Dublin,CPH,Copenhagen,2697
2022-07-01,DUB,Dublin,DME,Moscow,5789
2022-07-01,DUB,Dublin,ESB,Ankara,6856
2022-07-01,DUB,Dublin,FCO,Rome,4025
2022-07-01,DUB,Dublin,GYD,Baku,9023
2022-07-01,DUB,Dublin,HEL,Helsinki,4203
2022-07-01,DUB,Dublin,IEV,Kyiv,5234
2022-07-01,DUB,Dublin,KIV,Chisinau,5334
2022-07-01,DUB,Dublin,LHR,London,1087
2022-07-01,DUB,Dublin,LJU,Ljubljana,3685
2022-07-01,DUB,Dublin,LUX,Luxembourg,1541
2022-07-01,DUB,Dublin,MAD,Madrid,3249
2022-07-01,DUB,Dublin,MLA,Valletta,5219
2022-07-01,DUB,Dublin,MSQ,Minsk,4675
2022-07-01,DUB,Dublin,NIC,Nicosia,7623
2022-07-01,DUB,Dublin,OSL,Oslo,2734
2022-07-01,DUB,Dublin,OTP,Bucharest,5349
2022-07-01,DUB,Dublin,PRG,Prague,3177
2022-07-01,DUB,Dublin,PRN,Pristina,4822
2022-07-01,DUB,Dublin,RIX,Riga,4172
2022-07-01,DUB,Dublin,RKV,Reykjavik,3191
2022-07-01,DUB,Dublin,SJJ,Sarajevo,4288
2022-07-01,DUB,Dublin,SKP,Skopje,5018
2022-07-01,DUB,Dublin,SOF,Sofia,3851
2022-07-01,DUB,Dublin,TGD,Podgorica,4689
2022-07-01,DUB,Dublin,TIA,Tirana,3688
2022-07-01,DUB,Dublin,TLL,Tallinn,4324
2022-07-01,DUB,Dublin,TXL,Berlin,2834
2022-07-01,DUB,Dublin,VIE,Vienna,3567
2022-07-01,DUB,Dublin,VNO,Vilnius,4387
2022-07-01,DUB,Dublin,WAW,Warsaw,3926
2022-07-01,DUB,Dublin,ZAG,Zagreb,3902
2022-07-01,ESB,Ankara,AMS,Amsterdam,5325
2022-07-01,ESB,Ankara,ARN,Stockholm,4973
2022-07-01,ESB,Ankara,ATH,Athens,1879
2022-07-01,ESB,Ankara,BEG,Belgrade,1894
2022-07-01,ESB,Ankara,BRN,Bern,4575
2022-07-01,ESB,Ankara,BRU,Brussels,5357
2022-07-01,ESB,Ankara,BTS,Bratislava,2491
2022-07-01,ESB,Ankara,BUD,Budapest,2953
